,snapped_at,price,market_cap,total_volume,stars,forks,issues_opened,issues_closed,pulls_opened,pulls_merged,pulls_closed,commits,issue_comments
227,2016-03-22,11.31742767517068,886765230.0935057,19752147.756938808,0,0,1,0,3,2,0,0,1
228,2016-03-23,12.40319150724304,972225642.275035,19194415.657154,0,0,3,3,0,3,1,4,1
229,2016-03-24,11.12762218636002,872598276.4440267,25440037.393963,0,0,2,0,1,1,0,2,3
230,2016-03-25,10.64069143211582,834753145.0583116,13369781.43339712,0,0,0,6,1,1,0,2,4
231,2016-03-26,10.96552244468764,860590847.122157,9099232.99988865,0,0,2,0,2,0,0,1,4
232,2016-03-27,10.37751681820161,814770808.1488085,16296116.833151689,0,0,0,0,0,0,0,0,3
233,2016-03-28,11.67625154039094,917099302.4921898,23146182.980729047,0,0,2,0,0,0,0,0,3
234,2016-03-29,11.73817083046575,922332031.7043784,17227685.66894123,0,0,2,1,0,0,0,2,2
235,2016-03-30,11.88228675953419,934038009.0318996,18966041.620488863,0,0,2,0,1,0,3,4,2
236,2016-03-31,11.35463054290018,892916961.5825855,14483801.493105622,0,0,5,1,5,3,1,14,3
237,2016-04-01,11.63607180334684,915415691.5298438,11085851.666571325,0,0,2,1,5,5,1,10,2
238,2016-04-02,11.5639776320382,910108352.6203126,8250251.46099724,0,0,0,1,0,1,0,1,2
239,2016-04-03,11.51238012010477,906254482.4679868,6190954.954391588,0,0,1,0,2,0,1,1,4
240,2016-04-04,11.18688123888369,881135506.2361231,8612716.039295983,0,0,4,1,5,5,2,9,6
241,2016-04-05,10.41948468988903,821026031.4553995,19160809.10508679,0,0,2,1,1,2,0,4,3
242,2016-04-06,10.66622342007389,840796803.7682226,16326497.505610662,0,0,3,2,1,0,0,1,4
243,2016-04-07,10.0295684039377,790923840.975488,12647730.142575275,0,0,2,0,2,0,0,4,3
244,2016-04-08,9.758944911021471,769898368.4666554,14041839.904038262,0,0,4,0,1,0,0,0,3
245,2016-04-09,9.899719595415824,781106339.0553539,12961939.644313945,0,0,2,0,0,0,0,0,3
246,2016-04-10,8.814617175830122,695943784.1793737,42148631.996420056,0,0,0,0,0,0,0,0,2
247,2016-04-11,8.66829211893249,684660770.877576,14850316.572718466,0,0,0,3,1,4,0,6,4
248,2016-04-12,7.51681223420342,593949307.4480366,22286939.435105387,0,0,3,2,5,6,2,10,2
249,2016-04-13,8.015604593105122,633611436.0474921,30653780.43975513,0,0,4,1,1,2,0,3,3
250,2016-04-14,8.43365602127963,666925784.5002216,13178565.115089094,0,0,0,2,4,2,0,7,3
251,2016-04-15,8.20613745870167,649194329.0397049,11510142.230195371,0,0,0,1,6,5,0,14,3
252,2016-04-16,8.555981966976974,677141041.3390801,9164981.891612116,0,0,2,1,1,0,0,0,3
253,2016-04-17,9.323170276346234,738147546.3926145,23406128.933429755,0,0,3,0,0,0,0,0,2
254,2016-04-18,8.960482405053712,709720474.7865463,20650475.766265374,0,0,2,1,0,0,0,0,2
255,2016-04-19,8.696773038727313,689106961.8888905,11931697.805021904,0,0,1,1,1,1,0,3,2
256,2016-04-20,8.484150722584234,672532357.9918683,14929127.402227022,0,0,4,3,1,0,1,4,3
257,2016-04-21,8.11104074507033,643204549.648147,12241737.003326476,0,0,3,4,1,0,0,2,3
258,2016-04-22,7.855106665179344,623163882.7267805,12838519.618996318,0,0,2,0,2,0,0,1,1
259,2016-04-23,8.377192623957283,664843804.3114134,14263735.838354647,0,0,1,1,0,0,0,0,2
260,2016-04-24,7.995361207240304,634792414.6359913,10251449.903605144,0,0,1,0,0,0,0,0,3
261,2016-04-25,7.812751656077315,620380381.4729422,9849771.90571352,0,0,1,1,4,1,0,5,3
262,2016-04-26,7.424663266229029,589953549.0718942,17588527.338440873,0,0,2,1,0,3,0,3,4
263,2016-04-27,7.724694549946334,614038719.7664939,18898653.05760324,0,0,0,0,2,1,1,2,3
264,2016-04-28,7.250216005225782,576551379.9087085,10503191.403122593,0,0,3,1,1,3,0,5,3
265,2016-04-29,7.47581760975781,594731702.4822702,8232651.035704131,0,0,2,0,2,3,0,5,3
266,2016-04-30,8.892970091837213,707751631.3173722,36023474.61132939,0,0,0,0,1,0,0,0,2
